matter_id,file_number,intro_date,agenda_date,passed_date,body,matter_type,status,requester,enactment_number,action_type_ai,clean_title,summary,topic_tags,geography,raw_title,notes,tag_status
2110,202000946,2020-07-29,2020-08-05,2020-08-05,Cincinnati City Council,Ordinance,Passed,Budget and Finance Committee,0256-2020,emergency ordinance,"Accept $50,000 donation from Schott Foundation for recreation programs","Authorizes accepting $50,000 donation from Schott Foundation for youth and family recreation programs and special events.",parks and recreation,citywide,"ORDINANCE (EMERGENCY) submitted by Paula Boggs Muething, Interim City Manager, on 8/3/2020, AUTHORIZING the City Manager to accept and deposit a donation in the amount of  $50,000 from the Cincinnati Recreation Foundation on behalf of the Marge & Charles J. Schott Foundation for the purpose of providing funding for various Cincinnati Recreation Commission program activities, and supporting program special events for youth and families; and AUTHORIZING the Finance Director to deposit the donations into Contributions for Recreation Purposes Fund 319.",,success
2111,202000947,2020-07-29,2020-09-02,2020-09-02,Cincinnati City Council,Ordinance,Passed,Budget and Finance Committee,0288-2020,ordinance,Accept donations for Ormond and Ludlow Avenue crosswalk improvements,"Accepts $10,000 in donations to fund crosswalk and ADA ramp installation at Ludlow and Ormond.",infrastructure|transportation,Clifton,"ORDINANCE submitted by Paula Boggs Muething, Interim City Manager, on 8/5/2020, AUTHORIZING the City Manager to accept, with gratitude, and appropriate donations in the amount of $5,000 from the Clifton Town Meeting and $5,000 from the Clifton Business & Professional Association to existing capital improvement program project account no. 980x232x202367, “Ormond & Ludlow Crosswalk,” for the purpose of providing resources for the installation of a new marked crosswalk and ADA accessible ramps at Ludlow Avenue and Ormond Avenue.",,success
2112,202000948,2020-07-29,2020-08-05,2020-08-05,Cincinnati City Council,Ordinance,Passed,Budget and Finance Committee,0257-2020,emergency ordinance,"Appropriating $200,000 for recreation programming at Findlay Park Recreation Area","Authorizes $200,000 from recreation fund surplus for third-party programming providers at Findlay Park Recreation Area.",parks and recreation|budget,Over-the-Rhine,"ORDINANCE (EMERGENCY) submitted by Paula Boggs Muething, Interim City Manager, on 8/3/2020, AUTHORIZING the appropriation of $200,000 from the unappropriated surplus of Recreation Special Activities Fund 323 to the Department of Recreation’s non-personnel operating budget account no. 323x199x7200 for the purpose of providing resources for third-party providers to assist the Cincinnati Recreation Commission in providing active and interactive programing opportunities at Findlay Park Recreation Area located at 1823 Vine Street in the Over-the-Rhine neighborhood.",,success
2113,202000949,2020-07-29,2020-08-05,2020-08-05,Cincinnati City Council,Ordinance,Passed,Budget and Finance Committee,0258-2020,ordinance,Accept donation of portrait of first female Mayor Dorothy Dolbey,Authorizes accepting a donated portrait of Cincinnati's first female Mayor Dorothy Dolbey from artist Jennifer Baldwin.,arts and culture,citywide,"ORDINANCE submitted by Paula Boggs Muething, Interim City Manager, on 8/3/2020, AUTHORIZING the City Manager to accept with gratitude a donation from artist Jennifer Baldwin of a portrait of the City’s first female Mayor, Dorothy Dolbey.",,success
2114,202000950,2020-07-29,2020-08-05,2020-08-05,Cincinnati City Council,Ordinance,Passed,Budget and Finance Committee,0259-2020,emergency ordinance,Accept donations for Cincinnati Recreation Commission youth and family programs,"Authorizes accepting $30,000 in foundation donations to fund Cincinnati Recreation Commission youth and family programs.",parks and recreation,citywide,"ORDINANCE (EMERGENCY) submitted by Paula Boggs Muething, Interim City Manager, on 8/3/2020, AUTHORIZING the City Manager to accept and appropriate monetary donations from the Cincinnati Recreation Foundation on behalf of the Haile Foundation in the amount of $7,500; the Manuel D. & Rhoda Mayerson Foundation in the amount of $5,000; Interact for Health in the amount of $7,500; and the Greater Cincinnati Foundation in the amount of $10,000, for the purpose of providing funding for various Cincinnati Recreation Commission program activities, and supporting program special events for youth and families; and AUTHORIZING the Finance Director to deposit the grant funds in Fund 319, “Contributions for Recreation Purposes.”",,success
2115,202000951,2020-07-29,2020-09-02,2020-09-02,Cincinnati City Council,Motion,Adopted,Economic Growth & Zoning Committee,,motion,Property Tax Working Group final report and recommendations,Receives final report from Property Tax Working Group studying rising property tax trends and senior displacement issues.,tax policy|housing|economic development,citywide,"MOTION, dated July 28, 2020 submitted by Vice Mayor Smitherman and Councilmember Mann, The Property Tax Working Group (PTWG) was created by motion on September 5, 2018 to study trends related to property taxes. Especially important were rising property taxes in areas experiencing significant levels of development, helping senior citizens remain in their homes and communities and reporting on best practices of other cities and states. (Please see the attach motion and vote by Cincinnati City Council). The Property Tax Working Group had its final meeting on Thursday, July 23, 2020. This group was Chaired by Carol Gibbs, President/CEO Mt. Auburn Community Development Corporation (MACDC) and Vice Mayor Christopher Smitherman. The idea for the PTWG was the brainchild of Mrs. Carol Gibbs. 
(Balance of motion on file in the Clerk’s Office)",,success
2116,202000952,2020-07-29,2020-08-05,2020-08-05,Cincinnati City Council,Ordinance,Passed,Budget and Finance Committee,0260-2020,emergency ordinance,Transfer funds from recycling cart replacement to fleet replacements for box truck,"Transfers $11,230.89 from recycling cart project to fleet replacements to purchase box truck for recycling service center.",budget|environment and sustainability,citywide,"ORDINANCE (EMERGENCY) submitted by Paula Boggs Muething, Interim City Manager, on 8/3/2020, AUTHORIZING the transfer and return to source of the sum of $11,230.89 from capital improvement program project account no. 980x104x201005, “Wheeled Recycling Cart Replacement,” to Fund 758, “Income Tax Permanent Improvement”; and further AUTHORIZING the transfer and appropriation of $11,230.89 from the unappropriated surplus of Fund 758, “Income Tax Permanent Improvement,” to capital improvement program project account no. 980x981x202505, “Fleet Replacements,” for the purpose of providing resources to purchase a box truck needed for the new, City-run recycling cart service center.",,success
2117,202000953,2020-07-29,2020-08-05,2020-08-05,Cincinnati City Council,Ordinance,Passed,Budget and Finance Committee,0261-2020,emergency ordinance,Accept donations of personal protective equipment for frontline workers during coronavirus pandemic,Authorizes accepting donated PPE like masks and gloves to protect frontline workers during coronavirus pandemic.,public safety|health,citywide,"ORDINANCE (EMERGENCY) submitted by Paula Boggs Muething, Interim City Manager, on 8/3/2020, AUTHORIZING the City Manager to solicit and accept in-kind donations of personal protective equipment such as N95 rated masks, surgical and cloth masks, face shields and goggles, gloves, and isolation gowns on an ongoing basis from various organizations, including, but not limited to, Sister Cities, Chambers of Commerce, non-profit organizations, and local businesses for the purpose of protecting frontline workers and first responders working to combat the coronavirus pandemic.",,success
2118,202000954,2020-07-29,2020-09-02,2020-09-02,Cincinnati City Council,Motion,Adopted,Economic Growth & Zoning Committee,,motion,Property Tax Working Group final meeting and completion of study,Reports completion of Property Tax Working Group study on rising property taxes and senior housing displacement.,tax policy|housing,citywide,"MOTION, dated Juy 28, 2020 submitted by Vice Mayor Smitherman and Councilmember Mann, The Property Tax Working Group (PTWG) was created by motion on September 5, 2018 to study trends related to property taxes. Especially important were rising property taxes in areas experiencing significant levels of development, helping senior citizens remain in their homes and communities and reporting on best practices of other cities and states. (Please see the attach motion and vote by Cincinnati City Council). 
The Property Tax Working Group had its final meeting on Thursday, July 23, 2020. This group was Chaired by Carol Gibbs, President/CEO Mt. Auburn Community Development Corporation (MACDC) and Vice Mayor Christopher Smitherman. The idea for the PTWG was the brainchild of Mrs. Carol Gibb.
(Motion on file in the Clerk’s Office)",,success
2122,202000958,2020-07-29,2020-08-05,2020-08-05,Cincinnati City Council,Ordinance,Passed,Budget and Finance Committee,0262-2020,emergency ordinance,Grant for Police Mental Health and Resiliency Training Services,"Authorizes accepting $18,696 federal grant for Cincinnati Police Department mental health and resiliency training programs.",public safety,citywide,"ORDINANCE (EMERGENCY) submitted by Paula Boggs Muething, Interim City Manager, on 8/3/2020, AUTHORIZING the City Manager to partner with the HOPE Community Center in applying for and accepting, as a sub-recipient, a grant from the Ohio Department of Public Safety, Office of Criminal Justice Services, FY20 Edward Byrne Memorial Justice Assistance Grant (JAG) (CDFA #16.378), for resiliency training services and supplies for the Cincinnati Police Department, estimated in value at $18,696, to implement an innovative regional program to educate peer support trainers to monitor initial reactions to triggers and to adapt, using various techniques including Active Constructive Responding, Combat Breathing Technique, Individual Zones for Optimal Functioning, the ABC model, and stacking, for positive emotional and behavioral responses to promote mental well-being.",,success
